periodico,titulo,enlace,categoria,fecha_extraccion
El Tiempo,"Lotería de Cundinamarca: resultados del último sorteo del lunes 1 de diciembre, conozca los números ganadores",https://www.eltiempo.com/economia/finanzas-personales/loteria-de-cundinamarca-resultados-del-ultimo-sorteo-del-lunes-1-de-diciembre-conozca-los-numeros-ganadores-3513459,General,2025-12-01 21:12:17
El Tiempo,La Nasa ejecuta una compleja maniobra para impedir que un observatorio espacial termine desviándose y cayendo hacia la Tierra,https://www.eltiempo.com/vida/ciencia/la-nasa-ejecuta-una-compleja-maniobra-para-impedir-que-un-observatorio-espacial-termine-desviandose-y-cayendo-hacia-la-tierra-3513460,General,2025-12-01 21:12:17
El Tiempo,Atlético Nacional está a punto de cerrar un amistoso contra el Inter Miami de Lionel Messi en el Atanasio Girardot: esto es lo que se sabe,https://www.eltiempo.com/deportes/futbol-internacional/atletico-nacional-esta-a-punto-de-cerrar-un-amistoso-contra-el-inter-miami-de-lionel-messi-en-el-atanasio-girardot-esto-es-lo-que-se-sabe-3513455,General,2025-12-01 21:12:17
El Tiempo,Las 5 duras frases de la Fiscalía contra los exministros Luis F. Velasco y Ricardo Bonilla por el escándalo de la UNGRD,https://www.eltiempo.com/justicia/delitos/las-5-duras-frases-de-la-fiscalia-contra-los-exministros-luis-f-velasco-y-ricardo-bonilla-por-el-escandalo-de-la-ungrd-3513456,General,2025-12-01 21:12:17
El Tiempo,Lotería del Tolima: estos son los números ganadores del lunes 1 de diciembre del 2025,https://www.eltiempo.com/economia/finanzas-personales/loteria-del-tolima-estos-son-los-numeros-ganadores-del-lunes-1-de-diciembre-del-2025-3513457,General,2025-12-01 21:12:17
El Tiempo,Taller clandestino con explosivos y partes de fusil funcionaba en un apartamento en el norte de Bogotá: así fue desmantelado,https://www.eltiempo.com/bogota/taller-clandestino-con-explosivos-partes-de-fusil-funcionaba-en-un-apartamento-en-el-norte-de-bogota-asi-fue-desmantelado-3513453,General,2025-12-01 21:12:17
El Tiempo,Revelan detalles de la llamada entre Nicolás Maduro y Donald Trump: jefe del régimen dijo estar dispuesto a salir de Venezuela con amnistía completa,https://www.eltiempo.com/mundo/venezuela/revelan-detalles-de-la-llamada-entre-nicolas-maduro-y-donald-trump-lider-del-regimen-dijo-estar-dispuesto-a-abandonar-venezuela-con-amnistia-completa-3513452,General,2025-12-01 21:12:17
El Tiempo,Descubre cómo personas con discapacidad visual disfrutan del avistamiento de aves en Cali,https://www.eltiempo.com/colombia/cali/personas-con-discapacidad-visual-disfrutan-del-avistamiento-de-aves-en-cali-3513451,General,2025-12-01 21:12:17
El Tiempo,"Abogado de la familia de María Camila Mora, subteniente asesinada en el Cantón Norte en Bogotá, revela detalles del crimen: habló sobre testigo",https://www.eltiempo.com/bogota/abogado-de-la-familia-de-maria-camila-mora-subteniente-asesinada-en-el-canton-norte-en-bogota-revela-nuevos-detalles-del-caso-no-es-cierto-3513415,General,2025-12-01 21:12:17
El Tiempo,"Medellín y América, sin margen de error, se enfrentan en el Atanasio Girardot, en los cuadrangulares: minuto a minuto",https://www.eltiempo.com/deportes/futbol-colombiano/medellin-y-america-sin-margen-de-error-se-enfrentan-en-el-atanasio-girardot-en-los-cuadrangulares-minuto-a-minuto-3513447,General,2025-12-01 21:12:17
El Tiempo,Aerocivil asegura que Colombia alcanzará mañana el 98% de reacomodación en vuelos nacionales por la actualización de Airbus,https://www.eltiempo.com/economia/sectores/aerocivil-asegura-que-colombia-alcanzara-manana-el-98-de-reacomodacion-en-vuelos-nacionales-por-la-actualizacion-de-airbus-3513446,General,2025-12-01 21:12:17
El Tiempo,El panorama que afrontarían las finanzas públicas de Colombia si se hunde la reforma tributaria,https://www.eltiempo.com/economia/sectores/el-panorama-de-las-finanzas-publicas-del-2026-si-se-hunde-la-reforma-tributaria-3512811,General,2025-12-01 21:12:17
El Tiempo,"Ruta de la Moda 2025 se tomó Buenaventura, Valle del Cauca: el evento cerró en Cartagena con los Premios al Talento y la Moda; lo que se sabe",https://www.eltiempo.com/colombia/cali/ruta-de-la-moda-2025-se-tomo-buenaventura-valle-del-cauca-el-evento-cerro-en-cartagena-con-los-premios-al-talento-y-la-moda-lo-que-se-sabe-3513440,General,2025-12-01 21:12:17
El Tiempo,Estados Unidos autorizó exportación de huevo con cáscara desde Colombia para procesamiento industrial,https://www.eltiempo.com/economia/sectores/estados-unidos-autorizo-exportacion-de-huevo-con-cascara-desde-colombia-para-procesamiento-industrial-3513444,General,2025-12-01 21:12:17
El Tiempo,"Cúcuta Deportivo busca la remontada para ascender y Real Cundinamarca, sostener la ventaja para jugar la repesca; Patriotas espera el milagro",https://www.eltiempo.com/deportes/futbol-colombiano/cucuta-deportivo-busca-la-remontada-para-ascender-y-real-cundinamarca-sostener-la-ventaja-para-jugar-la-repesca-patriotas-espera-el-milagro-3513437,General,2025-12-01 21:12:17
El Tiempo,De hobby callejero a disciplina olímpica: escenas del 'skateboarding' en Colombia | El Tiempo,https://www.eltiempo.com/deportes/ciclo-olimpico/de-hobby-callejero-a-disciplina-olimpica-escenas-del-skateboarding-en-colombia-el-tiempo-3513442,General,2025-12-01 21:12:17
El Tiempo,AHF inaugura Centros de Atención Gratuita de ITS en Cúcuta y Maicao para reforzar la respuesta contra el VIH en Colombia: ofrecen pruebas gratis,https://www.eltiempo.com/salud/ahf-inaugura-centros-de-atencion-gratuita-de-its-en-cucuta-y-maicao-para-reforzar-la-respuesta-contra-el-vih-en-colombia-ofrecen-pruebas-gratis-3513439,General,2025-12-01 21:12:17
El Tiempo,Argentina y Estados Unidos firman acuerdo para fortalecer la lucha contra el crimen organizado y el narcotráfico,https://www.eltiempo.com/mundo/latinoamerica/argentina-y-estados-unidos-firman-acuerdo-para-fortalecer-la-lucha-contra-el-crimen-organizado-y-el-narcotrafico-3513436,General,2025-12-01 21:12:17
El Tiempo,Incautan 189 botellas de licor de contrabando en Barranquilla: ya son cerca de 2.600 decomisadas este año y autoridades instan a evitar riesgos,https://www.eltiempo.com/colombia/barranquilla/incautan-189-botellas-de-licor-de-contrabando-en-barranquilla-ya-son-cerca-de-2-600-decomisadas-este-ano-y-autoridades-instan-a-evitar-riesgos-3513429,General,2025-12-01 21:12:17
El Tiempo,Alquería recibe reconocimiento del gobierno alemán por su avance en empaques sostenibles y fortalecimiento del reciclaje en Colombia,https://www.eltiempo.com/vida/medio-ambiente/alqueria-recibe-reconocimiento-del-gobierno-aleman-por-su-avance-en-empaques-sostenibles-y-fortalecimiento-del-reciclaje-en-colombia-3513435,General,2025-12-01 21:12:17
El Tiempo,Arranca debate del salario mínimo en Colombia 2026 con el Gobierno defendiendo su ruta y Fenalco retirándose por el anuncio anticipado del alza,https://www.eltiempo.com/economia/sectores/arranca-debate-del-salario-minimo-2026-con-el-gobierno-defendiendo-su-ruta-y-fenalco-retirandose-por-el-anuncio-anticipado-del-alza-3513370,General,2025-12-01 21:12:17
El Tiempo,"Los ecos de la encuesta de Invamer, liderada por Iván Cepeda, Abelardo de la Espriella y Sergio Fajardo, que sacudió la campaña presidencial",https://www.eltiempo.com/politica/elecciones-colombia-2026/los-ecos-de-la-encuesta-de-invamer-liderada-por-ivan-cepeda-abelardo-de-la-espriella-y-sergio-fajardo-que-sacudio-la-campana-presidencia-3513428,General,2025-12-01 21:12:17
El Tiempo,"Malpensante estrenó su nueva edición de moda, arquitectura, diseño y artesanía: la muestra estará disponible al público hasta el 5 de diciembre",https://www.eltiempo.com/cultura/gente/malpensante-estreno-su-nueva-edicion-de-moda-arquitectura-diseno-y-artesania-la-exhibicion-esta-disponible-al-publico-hasta-el-5-de-diciembre-3513431,General,2025-12-01 21:12:17
El Tiempo,"Así fue la salida del país de los integrantes de la secta judía Lev Tahor, expulsada de Colombia cuando pretendía instalarse en Yarumal, Antioquia",https://www.eltiempo.com/colombia/medellin/expulsan-de-colombia-a-integrantes-de-la-secta-judia-lev-tahor-que-estaban-en-yarumal-antioquia-y-los-entregaron-a-autoridades-de-estados-unidos-3513432,General,2025-12-01 21:12:17
El Tiempo,"Mujeres, en el centro silencioso de la epidemia del VIH: Profamilia pide respuestas urgentes y con enfoque de género",https://www.eltiempo.com/salud/mujeres-en-el-centro-silencioso-de-la-epidemia-del-vih-profamilia-pide-respuestas-urgentes-y-con-enfoque-de-genero-3513433,General,2025-12-01 21:12:17
El Tiempo,Unimagdalena entrega a los Koguis 17 piezas arqueológicas extraídas hace décadas de Pueblito en la Sierra Nevada de Santa Marta,https://www.eltiempo.com/colombia/otras-ciudades/unimagdalena-entrega-a-los-koguis-17-piezas-arqueologicas-extraidas-hace-decadas-de-pueblito-en-la-sierra-nevada-3513425,General,2025-12-01 21:12:17
El Tiempo,"‘Si la empresa Saab incurre en algún tema de corrupción, pierde licencias’, advirtió el ministro de Defensa",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/si-la-empresa-saab-incurre-en-algun-tema-de-corrupcion-pierde-licencias-advirtio-el-ministro-de-defensa-3513430,General,2025-12-01 21:12:17
El Tiempo,Ciencia,https://www.eltiempo.com/vida/ciencia,General,2025-12-01 21:12:17
El Tiempo,"Cinco megatendencias tecnológicas transformarán a clínicas y hospitales en 2026 en un mercado que crecerá 10,6 %",https://www.eltiempo.com/salud/cinco-megatendencias-tecnologicas-transformaran-a-clinicas-y-hospitales-en-2026-en-un-mercado-que-crecera-10-6-3513427,General,2025-12-01 21:12:19
El Tiempo,Armando Benedetti aseguró que la sanción del CNE a campaña de Gustavo Petro podría anularse por 'vicios de trámite',https://www.eltiempo.com/politica/armando-benedetti-aseguro-que-sancion-del-cne-a-campana-de-gustavo-petro-podria-quedar-anulada-por-vicios-de-tramite-3513424,General,2025-12-01 21:12:19
